book_id,title,genre,description
1,The Way Things Work: An Illustrated Encyclopedia of Technology,Reference|Science|Nonfiction,<The Way Things Work: An Illustrated Encyclopedia of Technology> is a comprehensive guide that explains the inner workings of various technologies through detailed illustrations and clear descriptions.
2,Mog's Christmas,Children's|Picture Books|Animals|Fiction,"<Mog's Christmas> is a delightful picture book by Judith Kerr that follows Mog, the family cat, as she navigates the bustling Christmas preparations in her household."
3,Liar,Fiction|Humor|Contemporary|LGBT,"<Liar> is a dazzling, outrageous first novel that has delighted liars everywhere."
4,"T.S. Eliot Reading ""The Wasteland"" and Other Poems",Poetry|Modernist Literature|20th Century Literature,<T.S.
5,The Fighting Man,Thriller|War|Military Fiction,"<The Fighting Man> is a novel by Gerald Seymour about Gord Brown, a former British Special Forces officer, who is recruited by Guatemalan exiles to lead an uprising against a brutal military dictatorship."
6,First Among Equals,Political Fiction|Historical Fiction,"<First Among Equals> is a novel by Jeffrey Archer that follows the careers and personal lives of four fictional British politicians from 1964 to 1991, each vying to become Prime Minister."
7,Matter Of Honour,Thriller|Spy fiction,"<Matter Of Honour> is a thriller novel by Jeffrey Archer, first published in 1986, following Adam Scott's perilous journey across Europe as he is pursued by the KGB, CIA, and his own countrymen after discovering a secret that could alter the balance of power between America and the Soviet Union."
8,Kidnapped,Biography|Christian Nonfiction|Memoir,<Kidnapped> is a firsthand account by Karl and Debbie Dortzbach detailing the harrowing experience of Debbie's abduction by the Eritrean Liberation Front in 1974 Ethiopia.
9,Brave New World,Science fiction|Dystopian fiction|Speculative fiction,<Brave New World> is a dystopian novel by Aldous Huxley that explores a future society where genetic engineering and psychological conditioning are used to maintain social stability.
10,Monk's-hood,Mystery|Historical Fiction|Medieval Mystery,"<Monk's-hood> is a medieval mystery novel by Ellis Peters, set in December 1138, featuring Brother Cadfael, a Benedictine monk and herbalist, who investigates the poisoning death of a guest at Shrewsbury Abbey."
11,Made in America,Nonfiction|History|Language|Humor,<Made in America> is a witty exploration of the evolution of American English and its cultural influences.
12,Nothing Can Be Better,Fiction,"<Nothing Can Be Better> is a novel by Barns & Budd, published by Atlantic in 1996."
13,Daughters of the Storm,Historical Fiction|Romance|Historical Romance,"<Daughters of the Storm> is a sweeping tale of freedom and betrayal, love and death, set in revolutionary France."
14,Dark Spectre,Mystery|Crime|Thriller,"<Dark Spectre> is a chilling novel by Michael Dibdin that delves into a series of random, violent murders across America, linked by an obscure religious cult and the enigmatic Secret of the Templars."
15,Sir Gawain and the Green Knight,Chivalric Romance|Arthurian Legend|Medieval Literature,"<Sir Gawain and the Green Knight> is a 14th-century Middle English poem that narrates Sir Gawain's quest to fulfill a beheading challenge from the enigmatic Green Knight, testing his honor and chivalric virtues."
16,Pearl and Sir Orfeo,Poetry|Fantasy|Medieval|Mythology,<Pearl and Sir Orfeo> is a collection of two 14th-century Middle English poems translated by J.R.R.
